author,text,publishedAt,likes,clean_text,sentiment,published_at
@kirageber6975,"К Ксении Анатольевне относилась...никак.Ну..она есть..
А после этого интервью-уважать стала.
Нормально так ,от коуча который транслирует всеобъемлющюю любовь,услышать:Хочу тебе в рожу плюнуть!""😮
Тетя совсем отлетела?
Вообще ее не жалко.
Жадность фраера сгубила..",2025-04-23T11:42:22Z,0,"к ксении анатольевне относиласьникакнуона есть
а после этого интервьюуважать стала
нормально так от коуча который транслирует всеобъемлющюю любовьуслышатьхочу тебе в рожу плюнуть
тетя совсем отлетела
вообще ее не жалко
жадность фраера сгубила",NEGATIVE,2024-04-30
@ЛюбовьВасильева-п4п,"Ксения всегда была мне симпатична, но на фоне Елены - Ангел)",2025-04-22T18:49:45Z,0,ксения всегда была мне симпатична но на фоне елены  ангел,NEUTRAL,2024-04-09
@rasselback,"Да, я на протяжении 3-лет периодически сюда возвращаюсь чтобы от этого кринжа у меня горела *опа, организм выделил адреналин и в след за ним гормоны счастья🤭",2025-04-22T09:25:14Z,0,да я на протяжении лет периодически сюда возвращаюсь чтобы от этого кринжа у меня горела опа организм выделил адреналин и в след за ним гормоны счастья,POSITIVE,2024-04-08
@Krexxov,"Й
@
	
ф
Ф

				Ф
Ффээхфэ

@
	¡Фф@Э",2025-04-21T23:46:21Z,0,"й

	
ф
ф

				ф
ффээхфэ


	ффэ",NEGATIVE,2024-04-13
@Nohchi-ben,😂😂😂😂😂😂😂😂 это яма 😂😂😂😂✅. И в эту дичь люди верят,2025-04-21T12:58:46Z,0, это яма  и в эту дичь люди верят,NEGATIVE,2024-04-20
@армагидон786,Боже как Собчак терпела эту дуру на протяжении почти двух часов,2025-04-20T20:50:08Z,0,боже как собчак терпела эту дуру на протяжении почти двух часов,NEGATIVE,2024-04-08
@MirandaGoy,Блиновская возомнила из себя и совершенно непозволительно для Собчак общалась с ней очень дерзко.И теперь осталась с голой жопкой,2025-04-20T06:59:29Z,0,блиновская возомнила из себя и совершенно непозволительно для собчак общалась с ней очень дерзкои теперь осталась с голой жопкой,NEGATIVE,2024-04-23
@alinaasadullah,Роковое интервью),2025-04-19T20:31:17Z,0,роковое интервью,NEUTRAL,2024-05-01
@АнтонинаНиколаева-с5б,"Задача Ксении была показать,смотрите-кому вы несете деньги,за 2 часа 2 миллиона. И не только2 млн",2025-04-19T06:22:40Z,0,задача ксении была показатьсмотритекому вы несете деньгиза  часа  миллиона и не только млн,NEUTRAL,2024-04-21
@ВиталийМаслюк-э1г,Собчак порвала её в клочья😂,2025-04-18T06:39:52Z,1,собчак порвала её в клочья,NEGATIVE,2024-04-02
@Emory_o,"30:40 Смотрим, как она в 50 лет будет мега красивой и популярной)",2025-04-18T06:19:11Z,1, смотрим как она в  лет будет мега красивой и популярной,NEUTRAL,2024-04-08
@mikemouse854,Как Ксюша сдержала смех 🤭,2025-04-18T03:36:30Z,0,как ксюша сдержала смех ,NEUTRAL,2024-04-19
@mikemouse854,"Когда бедная, не образованная колхозница добралась до легких денег 😂",2025-04-18T03:01:22Z,0,когда бедная не образованная колхозница добралась до легких денег ,NEUTRAL,2024-04-20
@YuliyaAlma,"Берёшь...в сейф....моооё....-))
Ох..
Ну и - эй! Это моё желание из 2025 вообще-то!",2025-04-16T19:10:24Z,0,"берёшьв сейфмоооё
ох
ну и  эй это моё желание из  вообщето",NEUTRAL,2024-04-26
@YuliyaAlma,"Вернулась сюда в 2025...
Оспади...только- рука/ лицо 

И лютый пистец от людей,  которые в эту хню верили..
Сидит обычная бабища и чёт причесывает...
Кааааак???!!!!",2025-04-16T18:46:02Z,1,"вернулась сюда в 
оспадитолько рука лицо 

и лютый пистец от людей  которые в эту хню верили
сидит обычная бабища и чёт причесывает
кааааак",NEGATIVE,2024-04-15
@Val_Cosmos,"30:39 Вопросы про налоги от А до Я насторожили бы любого здравомыслящего предпринимателя. 
  В трэйдинге (финансовые рынки) есть теория, что эйфория от выигрешей даёт ощущение непобедимости. Данный пример на лицо.",2025-04-15T03:01:41Z,1," вопросы про налоги от а до я насторожили бы любого здравомыслящего предпринимателя 
  в трэйдинге финансовые рынки есть теория что эйфория от выигрешей даёт ощущение непобедимости данный пример на лицо",NEGATIVE,2024-04-06
@Val_Cosmos,"30:24 В мои 12 мне пришло понимание, что я в свои 50 буду мега крутой"". Отсчёт пошёл, есть ещё время 🤔
P.S. Нет ☠",2025-04-15T02:47:16Z,1," в мои  мне пришло понимание что я в свои  буду мега крутой отсчёт пошёл есть ещё время 
ps нет ",POSITIVE,2024-04-01
@Val_Cosmos,"Когда вынесли приговор, меня особенно привлек момент ее  матери на улице снаружи. Ей задали вопрос. На вид пропойца с деградиоующим интеллектом. Как Елена ни старалась, но от яблони далеко не упала.",2025-04-15T02:34:58Z,1,когда вынесли приговор меня особенно привлек момент ее  матери на улице снаружи ей задали вопрос на вид пропойца с деградиоующим интеллектом как елена ни старалась но от яблони далеко не упала,NEGATIVE,2024-04-27
@yuliajan1,"Колхоз !!!!
Браво Собчак!",2025-04-14T17:19:14Z,2,"колхоз 
браво собчак",NEGATIVE,2024-04-15
@serega1434,"Что такое ректификация простыми словами?

Ректификация – это разделение спиртосодержащей жидкости на отдельные фракции",2025-04-14T14:57:28Z,1,"что такое ректификация простыми словами

ректификация  это разделение спиртосодержащей жидкости на отдельные фракции",NEUTRAL,2024-04-29
@Liudmyla-wq8lr,"Себялюбие, славолюбие, сребролюбие.....главный тройничок лукавого и его лучшие ученицы",2025-04-14T13:28:19Z,2,себялюбие славолюбие сребролюбиеглавный тройничок лукавого и его лучшие ученицы,NEUTRAL,2024-04-12
@Nakormi_druga,"Теперь понятно, почему Блиновская , как камень полетела вниз!😅",2025-04-14T03:17:56Z,2,теперь понятно почему блиновская  как камень полетела вниз,NEUTRAL,2024-04-10
@annajigurova8201,"Женщина Елена,сама за себя всё сказала.
Ксения крутая,как всегда!!!",2025-04-13T22:07:44Z,2,"женщина еленасама за себя всё сказала
ксения крутаякак всегда",NEUTRAL,2024-04-21
@ЛизаВершинина-м6к,"Умная  и образованная женщина берет интервью у  пустого человека и скучного, повторяющего одни и те же фразы, неспособного на глубокий разговор. А Собчак великолепна. Как она выдержала этот  разговор только.",2025-04-13T16:08:09Z,3,умная  и образованная женщина берет интервью у  пустого человека и скучного повторяющего одни и те же фразы неспособного на глубокий разговор а собчак великолепна как она выдержала этот  разговор только,NEGATIVE,2024-04-20
@ayxanabdullayev7232,"очень грубая, злая и агрессивная особа эта Блиновская… Собчак держалась до конца, но думаю надо было ей в конце сказать, что она в этом интервью показала себя не с лучшей стороны…",2025-04-13T15:49:11Z,2,очень грубая злая и агрессивная особа эта блиновская собчак держалась до конца но думаю надо было ей в конце сказать что она в этом интервью показала себя не с лучшей стороны,NEGATIVE,2024-04-02
@carida8378,"Пусть бабки людям возвращает,мерзота.",2025-04-13T07:58:44Z,2,пусть бабки людям возвращаетмерзота,NEGATIVE,2024-04-14
@Di-Ta-11,"Смотрела в апреле 2025….судя по заданным вопросам, сложилось стойкое впечатление, что Ксения активно помогала собирать материал для уголовного дела: кто организовал бизнес?кто руководит?какая роль мужа?!какой доход?!налоги?где офис?сколько офисов?кто концепцию придумал?кто воплощал?!какой доход?!откуда столько роскоши?!….прям вопросы протокольные, Блиновская прекрасно понимала подвохи (закатывание глаз, ужимки, и тд) и максимально старалась расплывчато отвечать, или вовсе пытаться уходить от ответов - но увы, результат уже известен всем. Интервью с последствиями.",2025-04-12T17:08:35Z,5,смотрела в апреле судя по заданным вопросам сложилось стойкое впечатление что ксения активно помогала собирать материал для уголовного дела кто организовал бизнескто руководиткакая роль мужакакой доходналогигде офиссколько офисовкто концепцию придумалкто воплощалкакой доходоткуда столько роскошипрям вопросы протокольные блиновская прекрасно понимала подвохи закатывание глаз ужимки и тд и максимально старалась расплывчато отвечать или вовсе пытаться уходить от ответов  но увы результат уже известен всем интервью с последствиями,NEUTRAL,2024-04-02
@ДжоБлэк-х2м,"Такая блатная, куда деваться. Не зря её посадили",2025-04-12T06:37:34Z,2,такая блатная куда деваться не зря её посадили,NEUTRAL,2024-04-24
@МаринаРезникова-ь1е,Блиновская омерзительна....,2025-04-11T15:36:31Z,2,блиновская омерзительна,NEUTRAL,2024-04-06
@МаринаРезникова-ь1е,Кесарю кесарево....,2025-04-11T15:35:37Z,1,кесарю кесарево,NEGATIVE,2024-04-17
@RossKateKate,"""Мне не нравится показывать свои счета непонятным людям"" 😂😂😂

Вот откуда все проблемы то пошли",2025-04-11T09:22:05Z,1,"мне не нравится показывать свои счета непонятным людям 

вот откуда все проблемы то пошли",NEGATIVE,2024-04-20
@viva_lu,В 12 лет ей видимо пришло ложное ощущение про успешный успех в 50🙈,2025-04-10T19:58:54Z,1,в  лет ей видимо пришло ложное ощущение про успешный успех в ,NEGATIVE,2024-04-23
@annaivi3458,"Тяжело слушать человека с таким самомнением и невъ*бенным эго. Но есть ощущение, что многим россиянам не хватает здоровой самооценки (из-за стиля воспитания, принятого в нашем обществе) и потому шли к Блиновской - отщипнуть это качество. А Ксении Анатольевне жму руку за профессионализм и силу духа: довела интервью до конца с этим неадекватном.",2025-04-10T13:55:56Z,3,тяжело слушать человека с таким самомнением и невъбенным эго но есть ощущение что многим россиянам не хватает здоровой самооценки изза стиля воспитания принятого в нашем обществе и потому шли к блиновской  отщипнуть это качество а ксении анатольевне жму руку за профессионализм и силу духа довела интервью до конца с этим неадекватном,NEUTRAL,2024-04-07
@АйгульБакиева-б5ж,"Два разных сословия😬 разительная разница. Это про то, что миллионы не дают тебе ничего полезного если ты изнутри не имеешь отношения к уму грамотности и интеллигентности.",2025-04-10T12:04:50Z,3,два разных сословия разительная разница это про то что миллионы не дают тебе ничего полезного если ты изнутри не имеешь отношения к уму грамотности и интеллигентности,NEGATIVE,2024-04-14
@АйгульБакиева-б5ж,"Два разных сословия😬 разительная разница. Это про то, что миллионы не дают тебе ничего полезного если ты изнутри не имеешь отношения к уму грамотности и интеллигентности.",2025-04-10T12:04:28Z,2,два разных сословия разительная разница это про то что миллионы не дают тебе ничего полезного если ты изнутри не имеешь отношения к уму грамотности и интеллигентности,NEGATIVE,2024-04-03
@АйгульБакиева-б5ж,Примитив которая дорвалась до шальных денег. Образования и интеллигентности 0. Я про главную героиню.,2025-04-10T11:32:43Z,3,примитив которая дорвалась до шальных денег образования и интеллигентности  я про главную героиню,NEGATIVE,2024-04-20
@tati7136,Интересно смотреть это из 2025 😂,2025-04-10T10:50:43Z,4,интересно смотреть это из  ,NEUTRAL,2024-04-30
@b_d1171,"😂первый раз вообще смотрю про блин, и он комом😂.... Кашмарики, люди кому вы деньги несете😅.... вернее несли😂",2025-04-09T16:06:49Z,5,первый раз вообще смотрю про блин и он комом кашмарики люди кому вы деньги несете вернее несли,NEGATIVE,2024-04-21
@Жаргалма-ч1ч,"Не вывозит Собчак, не может противостоять ей, Собчак не нравится но тут прямо молодец",2025-04-09T06:03:31Z,0,не вывозит собчак не может противостоять ей собчак не нравится но тут прямо молодец,NEUTRAL,2024-04-17
@DigitalProductsDigitalProducts,"Ксения, у вас терпение титановое.... :D",2025-04-08T16:54:28Z,1,ксения у вас терпение титановое d,NEUTRAL,2024-04-14
@Keonomoret,"Как будто бы сейчас понятно, что лна цифры не называет не потому что пошло про деньги говорить, а чтобы внимание налоговой не акцентировать...",2025-04-08T10:48:57Z,2,как будто бы сейчас понятно что лна цифры не называет не потому что пошло про деньги говорить а чтобы внимание налоговой не акцентировать,NEGATIVE,2024-04-24
@Игорь-о2р7с,"Ксения, такой хуйни я даввно не видел. Вы шикарный журналист подчеркиваю перересмотрел 2й раз",2025-04-07T09:56:30Z,3,ксения такой хуйни я даввно не видел вы шикарный журналист подчеркиваю перересмотрел й раз,NEGATIVE,2024-04-05
@Игорь-о2р7с,"Ксюша, ну не везде  нашли лошадь. Как есть так есть.",2025-04-07T09:47:05Z,0,ксюша ну не везде  нашли лошадь как есть так есть,NEUTRAL,2024-04-18
@MiaMia-kt5ui,"Надменная ,,и презирала кое кого из людей и те люди просто подумали ,что за надменность получит и получила Будьте аккуратны",2025-04-07T03:19:15Z,1,надменная и презирала кое кого из людей и те люди просто подумали что за надменность получит и получила будьте аккуратны,NEGATIVE,2024-04-14
@Моимысли,"Боже, блиновская это жесть 😬",2025-04-06T12:17:56Z,3,боже блиновская это жесть ,NEGATIVE,2024-04-09
@tatyanatarasova1361,"Боже мой,  как страшно осознавать,  что к этой ""гуру "" ходили тысячи людей, в основном женщины !!! Что-то в стране не так !!!",2025-04-06T00:34:30Z,3,боже мой  как страшно осознавать  что к этой гуру  ходили тысячи людей в основном женщины  чтото в стране не так ,NEGATIVE,2024-04-16
@m.goetzilla7156,"Ксения Анатольевна хоть и терпела изо всех сил (в силу врождённой интеллигентности), но в конце концов не сдержалась и отомстила, результат - сидит Елена, по состоянию на апрель 2025 всё ещё сидит. Н🤗Потому что нельзя так по-свински себя вести, если уж пришла на интервью, сама своей же короной и поцарапалась 🤷🏻‍♀️",2025-04-06T00:09:32Z,3,ксения анатольевна хоть и терпела изо всех сил в силу врождённой интеллигентности но в конце концов не сдержалась и отомстила результат  сидит елена по состоянию на апрель  всё ещё сидит нпотому что нельзя так посвински себя вести если уж пришла на интервью сама своей же короной и поцарапалась ,NEUTRAL,2024-04-20
@rufinalazareva9121,"Блиновская все таки ущербная, стоит в обороне, внутри куча страхов. Ксюша- ты профессионал.",2025-04-05T21:28:56Z,4,блиновская все таки ущербная стоит в обороне внутри куча страхов ксюша ты профессионал,NEGATIVE,2024-04-14
@МаркМишкеткуль,"А че есть те , кто за блиновскую и те , кто за Собчак ? Но нет тех, кто  против этого дебилизма в целом?😂",2025-04-05T20:50:27Z,0,а че есть те  кто за блиновскую и те  кто за собчак  но нет тех кто  против этого дебилизма в целом,NEGATIVE,2024-04-12
@МаркМишкеткуль,"Я не представляю психику людей , которые это все снимали и редактировали😂",2025-04-05T20:05:17Z,4,я не представляю психику людей  которые это все снимали и редактировали,NEGATIVE,2024-04-17
