author,text,publishedAt,likes,clean_text,sentiment,published_at
@sobchak,"00:59 - Тайный эксперт 

02:08- Встреча с Ольгой Бузовой

03:44- Экскурсия по квартире 

07:02 - Гардероб Бузовой

07:45 - Тайная комната Ольги Бузовой

09:20 - Брачное ложе

10:15 - Бузова и Тарасов

12:07 - Новый любовь?

13:25 - Секретный эксперт про феномен Бузовой

14:03 -  Вся жизнь реалити шоу!

17:37 -  Супер игра  

30:38 -  Шрам на сердце 

34:14 - Сколько мужчин было в постеле у Бузовой?

35:47 - Как Бузова уничтожила Кардашьян? 

36:21 - Как заработать миллионы в инстаграме?

39:51- Какая Бузова настоящая? 

42:01 -  Бузова и Абрамович!

43:02 -  Брачный контракт с Тарасовым

45:56 - Собчак проверят кафе Бузовой 

51:10 - Почему BuzFood провалился? 

54:52 -  Так ли успешная Империя Бузовой?

58:43 - Не все так радужно!

01:02:28 - Артур Джанибекян обедает в BuzFood 

01:05:45 - Кто такой Арам “Арчер” Ананян?

01:07:18 - Небольшая истерика 

01:09:27- Караоке в машине

01:10:15 - Кто вдохновил Бузову стать певицей?

01:11:25 - Звонок Федору Смолову 

01:18:08 - Собчак и Бузова на лобном месте 

01:21:14 - Как все начиналось 

01:23:58 - Почему Собчак ушла с Дом 2?

01:24:39 - Ответственность перед подписчиками 

01:25:56 - О Дружбе с Кадыровым 

01:29:45 - Меня не сломать!


На 18:44 ошибка. Семен Слепаков счастливо женат. Семен, прости!",2019-04-24 11:55:57+00:00,1999,"0059  тайный эксперт 

0208 встреча с ольгой бузовой

0344 экскурсия по квартире 

0702  гардероб бузовой

0745  тайная комната ольги бузовой

0920  брачное ложе

1015  бузова и тарасов

1207  новый любовь

1325  секретный эксперт про феномен бузовой

1403   вся жизнь реалити шоу

1737   супер игра  

3038   шрам на сердце 

3414  сколько мужчин было в постеле у бузовой

3547  как бузова уничтожила кардашьян 

3621  как заработать миллионы в инстаграме

3951 какая бузова настоящая 

4201   бузова и абрамович

4302   брачный контракт с тарасовым

4556  собчак проверят кафе бузовой 

5110  почему buzfood провалился 

5452   так ли успешная империя бузовой

5843  не все так радужно

010228  артур джанибекян обедает в buzfood 

010545  кто такой арам арчер ананян

010718  небольшая истерика 

010927 караоке в машине

011015  кто вдохновил бузову стать певицей

011125  звонок федору смолову 

011808  собчак и бузова на лобном месте 

012114  как все начиналось 

012358  почему собчак ушла с дом 2

012439  ответственность перед подписчиками 

012556  о дружбе с кадыровым 

012945  меня не сломать


на 1844 ошибка семен слепаков счастливо женат семен прости",positive,2024-04-29
@ЕленаЗабелина-р9й,"бузовой слишком много везде, набила оскомину... Как назойливая муха",2025-04-26 13:55:50+00:00,0,бузовой слишком много везде набила оскомину как назойливая муха,neutral,2024-04-17
@ЕленаЗабелина-р9й,Незатейливые  у венедиктова мечты.....))))),2025-04-26 13:55:05+00:00,0,незатейливые  у венедиктова мечты,neutral,2024-04-25
@taygishkin,"Ну вот, а вы говорите, что Бирюлёво плохой район, там же Бузова живёт! Ну или жила...",2025-04-17 23:25:20+00:00,0,ну вот а вы говорите что бирюлёво плохой район там же бузова живёт ну или жила,neutral,2024-04-21
@knightworld001,Ощущаю энергию денег!,2025-04-15 01:21:40+00:00,0,ощущаю энергию денег,negative,2024-04-15
@ОксанаМорозова-ю5б,Не сравнивайте Бузову с любимой моей Одессой.🤬🤬🤬🤬🤬,2025-04-13 07:11:47+00:00,0,не сравнивайте бузову с любимой моей одессой,positive,2024-04-17
@JosephAyers-o1d,Огромное спасибо!,2025-04-10 20:29:40+00:00,0,огромное спасибо,positive,2024-04-27
@WiltonLucero,Как же вовремя!,2025-04-10 19:33:21+00:00,0,как же вовремя,neutral,2024-04-28
@DorisMansfield-t3p,На одном дыхании!,2025-04-08 08:26:41+00:00,0,на одном дыхании,positive,2024-04-20
@BonnieBrooks-l6g,Легендарно!,2025-04-07 20:35:08+00:00,0,легендарно,negative,2024-04-27
