author,text,publishedAt,likes,clean_text,sentiment,published_at
@Lallydoll888,"Как бы там не было,но Утяшевой до Собчак далеко..по манере общения со звёздами и искренности",2025-04-23 20:33:16+00:00,0,как бы там не былоно утяшевой до собчак далекопо манере общения со звёздами и искренности,neutral,2024-04-12
@whiterussia9232,"У меня плохой запас русских слов, так как я 32 года живу в Америке. Я здесь закончила школу и университет. То есть у меня в голове все по английски. Слова на Английском в голове крутятся, а по русски за словом лезу в карман, как говорится. 
А у Алишера почему такая проблема?",2025-04-19 06:44:42+00:00,0,"у меня плохой запас русских слов так как я 32 года живу в америке я здесь закончила школу и университет то есть у меня в голове все по английски слова на английском в голове крутятся а по русски за словом лезу в карман как говорится 
а у алишера почему такая проблема",negative,2024-04-29
@killer996ful,"Ктонибудь мне обьяснит,что это за таджик?",2025-04-19 01:28:54+00:00,1,ктонибудь мне обьяснитчто это за таджик,neutral,2024-04-10
@dispatchaleks3050,34:50 если бы сдали город хм.... кому тем кто считают себя высшей нацией а на жителей города смотрят как на унтерменшей? хм.... ну навернео их бы отпустили да? зачем их отправлять в концлагерь они же сдались,2025-04-17 07:15:05+00:00,0,3450 если бы сдали город хм кому тем кто считают себя высшей нацией а на жителей города смотрят как на унтерменшей хм ну навернео их бы отпустили да зачем их отправлять в концлагерь они же сдались,negative,2024-04-10
@АнастасияСинкина-ш4м,"Вопрос про то что сделал Алишер детям , он же очень много денег задонатил больным деткам , и не афиширует это ❤",2025-04-16 10:41:45+00:00,0,вопрос про то что сделал алишер детям  он же очень много денег задонатил больным деткам  и не афиширует это,negative,2024-04-16
@tanjawolf4290,Где продолжение??,2025-04-13 10:08:11+00:00,0,где продолжение,neutral,2024-04-16
@СМЕШНОЕИМНОГОЕДРУГОЕ,Правильно сделали что выкинули это говнище с Дубаи,2025-04-12 10:12:52+00:00,0,правильно сделали что выкинули это говнище с дубаи,negative,2024-04-22
@thebestboy5529,"Никто так и ничего не понял, и не задавал себе вопроса, почему и как появился ""Шаман""?😂😂😂
Все забыли настоящего шамана Габышева, который пешком шел в Москву изгонять дьявола, но когда команда с его сторонниками остановилась на ночевку, ночью приехали силовики и прямо из палатки в подштанниках увезли в Улан-Уде, он как Махатма Ганди хотел в Москве провести обряд очищения. После стало известно, что его поместили в психушку, поход на Москву тем самым закончился, так как идеолог оказался не у дел, на этом протест и завершился. Но в Интернете не утихали запросы, где он и куда делся, вот продюсеры и ухватились за идею, которая с одной стороны решает запросы людей(вот ваш шаман, любите и жалуйте!), а с другой приносит деньги!😂😂😂
Махатма Ганди известен своим ""Соляным походом"", против колониального правительства, когда объявили налог на соль, которое люди выпаривали из морской воды, которое вылилось в массовые протесты,  что со временем привело к независимости Индии, это можно прочитать в интернете.
 Поход имел важное пропагандистское значение и заложил основы массовой кампании гражданского неповиновения английским колониальным властям в Индии, дав толчок новым протестам против соляных налогов. Миллионы человек по всей Индии занялись незаконной добычей и торговлей поваренной солью, прекратив покупать легальную соль у британцев. Вскоре бойкот распространился на фабричную одежду и другие товары британского производства. Происходил массовый отказ от исполнения лесных законов и уплаты других налогов британцам. Впервые в истории Индии женщины в массовом порядке приняли активное участие в добыче и продаже соли, походах и демонстрациях, в том числе на ведущих ролях, несмотря на двойственное отношение Махатмы Ганди к этому.",2025-04-08 01:54:24+00:00,0,"никто так и ничего не понял и не задавал себе вопроса почему и как появился шаман
все забыли настоящего шамана габышева который пешком шел в москву изгонять дьявола но когда команда с его сторонниками остановилась на ночевку ночью приехали силовики и прямо из палатки в подштанниках увезли в улануде он как махатма ганди хотел в москве провести обряд очищения после стало известно что его поместили в психушку поход на москву тем самым закончился так как идеолог оказался не у дел на этом протест и завершился но в интернете не утихали запросы где он и куда делся вот продюсеры и ухватились за идею которая с одной стороны решает запросы людейвот ваш шаман любите и жалуйте а с другой приносит деньги
махатма ганди известен своим соляным походом против колониального правительства когда объявили налог на соль которое люди выпаривали из морской воды которое вылилось в массовые протесты  что со временем привело к независимости индии это можно прочитать в интернете
 поход имел важное пропагандистское значение и заложил основы массовой кампании гражданского неповиновения английским колониальным властям в индии дав толчок новым протестам против соляных налогов миллионы человек по всей индии занялись незаконной добычей и торговлей поваренной солью прекратив покупать легальную соль у британцев вскоре бойкот распространился на фабричную одежду и другие товары британского производства происходил массовый отказ от исполнения лесных законов и уплаты других налогов британцам впервые в истории индии женщины в массовом порядке приняли активное участие в добыче и продаже соли походах и демонстрациях в том числе на ведущих ролях несмотря на двойственное отношение махатмы ганди к этому",negative,2024-04-23
@RobertReis-i3z,Лучшая подача!,2025-04-06 22:37:30+00:00,0,лучшая подача,positive,2024-04-28
@arthur5193,🎉🎉🎉🎉,2025-04-06 18:15:48+00:00,0,,neutral,2024-04-10
@Matva4k,"А ведь он говорил, что не вернётся в запой😢",2025-04-05 16:03:03+00:00,0,а ведь он говорил что не вернётся в запой,neutral,2024-04-16
@AnastasyaIvanova-o8r,Два умных человека ведут беседу не оторваться,2025-04-05 08:06:30+00:00,0,два умных человека ведут беседу не оторваться,neutral,2024-04-18
@СветланаЛебедева-ь2в,Собчак красотка - порвёт любого!!! Люблю,2025-04-01 18:11:33+00:00,0,собчак красотка  порвёт любого люблю,positive,2024-04-14
@andriivozniak492,Яка ж вона йобнута 😢,2025-03-29 06:38:06+00:00,0,яка ж вона йобнута,neutral,2024-04-27
@skywhyyanfox,"6:29 про ""Выкину из Дубая"" было предсказано",2025-03-26 16:29:05+00:00,0,629 про выкину из дубая было предсказано,negative,2024-04-25
@AllaSvetlova,Вначале уже гундосит Оксанка и скучно!,2025-03-26 11:51:42+00:00,1,вначале уже гундосит оксанка и скучно,negative,2024-04-16
